turn,player_turn,desk,hand_0,hand_1
10,0,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC""]","[""QC"", ""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
11,1,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC""]","[""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""KC"", ""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
12,0,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC""]","[""AC"", ""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
13,1,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC""]","[""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""2H"", ""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
13,1,"[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]","[""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH""]"
14,1,[],"[""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""3D"", ""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
15,0,"[""3D""]","[""2C"", ""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
16,1,"[""3D"", ""2C""]","[""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""4S"", ""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
17,0,"[""3D"", ""2C"", ""4S""]","[""5C"", ""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
18,1,"[""3D"", ""2C"", ""4S"", ""5C""]","[""7H"", ""9D"", ""JD"", ""KD"", ""Joker1"", ""2S"", ""5S"", ""7D"", ""9H"", ""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""6D"", ""8H"", ""10H"", ""QH"", ""AH"", ""3H"", ""4H"", ""3C"", ""6S"", ""8C"", ""10D"", ""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H""]"
