turn,player_turn,desk,hand_0,hand_1
38,0,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D""]","[""JS"", ""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
39,1,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS""]","[""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""QS"", ""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
40,0,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS""]","[""KS"", ""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
41,1,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS""]","[""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""AS"", ""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
42,0,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS""]","[""Joker2"", ""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
43,1,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2""]","[""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""4C"", ""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
43,1,"[""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]","[""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H""]"
44,1,[],"[""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""5H"", ""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
45,0,"[""5H""]","[""6H"", ""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
46,1,"[""5H"", ""6H""]","[""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""7S"", ""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
47,0,"[""5H"", ""6H"", ""7S""]","[""8D"", ""10C"", ""QD"", ""KH"", ""AD""]","[""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
48,1,"[""5H"", ""6H"", ""7S"", ""8D""]","[""10C"", ""QD"", ""KH"", ""AD""]","[""9C"", ""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
49,0,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C""]","[""10C"", ""QD"", ""KH"", ""AD""]","[""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
50,1,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C"", ""10C""]","[""QD"", ""KH"", ""AD""]","[""JH"", ""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
51,0,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C"", ""10C"", ""JH""]","[""QD"", ""KH"", ""AD""]","[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
52,1,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C"", ""10C"", ""JH"", ""QD""]","[""KH"", ""AD""]","[""2D"", ""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
53,0,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C"", ""10C"", ""JH"", ""QD"", ""2D""]","[""KH"", ""AD""]","[""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
54,1,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C"", ""10C"", ""JH"", ""QD"", ""2D"", ""KH""]","[""AD""]","[""3S"", ""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
55,0,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C"", ""10C"", ""JH"", ""QD"", ""2D"", ""KH"", ""3S""]","[""AD""]","[""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
56,1,"[""5H"", ""6H"", ""7S"", ""8D"", ""9C"", ""10C"", ""JH"", ""QD"", ""2D"", ""KH"", ""3S"", ""AD""]",[],"[""4D"", ""5D"", ""6C"", ""7C"", ""8S"", ""9S"", ""10S"", ""JC"", ""QC"", ""KC"", ""AC"", ""2H"", ""3D"", ""2C"", ""4S"", ""5C"", ""6D"", ""7H"", ""8H"", ""9D"", ""10H"", ""JD"", ""QH"", ""KD"", ""AH"", ""Joker1"", ""3H"", ""4H"", ""2S"", ""3C"", ""5S"", ""6S"", ""7D"", ""8C"", ""9H"", ""10D"", ""JS"", ""QS"", ""KS"", ""AS"", ""Joker2"", ""4C""]"
