turn,player_turn,desk,hand_0,hand_1
53,0,"[""9C"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH""]","[""9S"", ""6D"", ""7C"", ""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H""]","[""JD"", ""6C"", ""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
54,0,"[""9C""]","[""9S"", ""6D"", ""7C"", ""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH""]","[""JD"", ""6C"", ""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
54,0,"[""9C"", ""9S""]","[""6D"", ""7C"", ""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH""]","[""JD"", ""6C"", ""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
55,0,[],"[""6D"", ""7C"", ""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""JD"", ""6C"", ""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
56,1,"[""6D""]","[""7C"", ""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""JD"", ""6C"", ""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
57,0,"[""6D"", ""JD""]","[""7C"", ""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6C"", ""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
58,1,"[""6D"", ""JD"", ""7C""]","[""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""6C"", ""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
58,1,"[""6D"", ""JD"", ""7C"", ""6C""]","[""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD""]"
59,1,[],"[""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""2D"", ""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
60,0,"[""2D""]","[""4D"", ""JC"", ""9H"", ""AS"", ""2H"", ""8S"", ""5D"", ""10S"", ""QS"", ""4S"", ""KC"", ""9D"", ""AD"", ""3C"", ""3D"", ""3S"", ""KS"", ""5H"", ""3H"", ""7S"", ""Joker2"", ""7D"", ""KD"", ""AC"", ""10C"", ""QH"", ""7H"", ""KH"", ""8C"", ""AH"", ""4H"", ""5S"", ""2C"", ""8H"", ""JS"", ""10D"", ""8D"", ""Joker1"", ""5C"", ""6H"", ""JH"", ""9C"", ""9S""]","[""10H"", ""QC"", ""6S"", ""2S"", ""4C"", ""QD"", ""6D"", ""JD"", ""7C"", ""6C""]"
